"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"4375281080000000101","","NEWT","TRAD","2026-07-24T07:46:12Z","","IR","","I","FALSE","2026-07-24T07:46:12Z","2026-09-16","2036-09-16","","","TWSF","FALSE","FALSE","","6,000,000","6,000,000","NZD","NZD","","","","","","","","","","","","","","","","","","","","","","","","0.045165","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","","MNTH","","","MNTH","6","","","3","","","NZD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZBT7MDTPZNK","NA/Swap Fxd Flt NZD","NZD-BBR-FRA"
"4375281083000000401","","NEWT","TRAD","2026-07-24T07:46:15Z","","IR","","I","FALSE","2026-07-24T07:46:15Z","2026-09-17","2026-11-05","","","TWSF","FALSE","FALSE","","1,700,000,000","1,700,000,000","GBP","GBP","","","","","","","","","","","","","","","","","","","","","","","","0.03914","","","","","","","","","","","","false","","","","","","A005","","","A005","","EXPI","","1","","EXPI","","","EXPI","1","","","1","","","GBP","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZ0W41WLZFFQ","NA/Swap OIS GBP","GBP-SONIA-COMPOUND"
"4375281082000000301","","NEWT","TRAD","2026-07-24T07:46:13Z","","IR","","I","FALSE","2026-07-24T07:46:13Z","2026-09-16","2036-09-16","","","TWSF","FALSE","FALSE","","31,700,000,000","31,700,000,000","KRW","KRW","","","","","","","","","","","","","","","","","","","","","","","","0.0419656","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","163799.03585","MNTH","","","MNTH","3","","","3","UFRO","USD","USD","","","","false","","","","","","","","","","","TRUE","-212,339","USD","1","","","","","","QZ26BPG38C1K","NA/Swap Fxd Flt KRW","KRW-CD 91D"
"4375251136000000301","","NEWT","TRAD","2026-07-24T07:45:54Z","","IR","","I","TRUE","2026-07-24T07:45:54Z","2026-07-28","2027-07-28","","FALSE","BBSF","FALSE","FALSE","","31,000,000","31,000,000","USD","USD","","","","","","","","","","","","","","","","","","","","","","","","0.0414668","","","","","","","","","","","","false","","","","","","A004","","","A004","","YEAR","","1","","YEAR","","","YEAR","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZXQ4R16245X","NA/Swap OIS USD","USD-SOFR-COMPOUND"
"4375251137000000401","4375217252000000801","TERM","ETRM","2026-07-24T07:45:49Z","","IR","","I","FALSE","2026-07-24T07:42:56Z","2026-09-16","2056-09-16","","FALSE","BILT","FALSE","FALSE","FALSE","23,000,000","23,000,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","0.03289","","","","","","0","0","","","0.03289","","false","","","3","3","3","A001","","","A004","","MNTH","","6","","YEAR","","","MNTH","1","","","6","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZLD2DP407JN","NA/Swap Fxd Flt EUR","EUR-EURIBOR"
"4375281087000000801","","NEWT","TRAD","2026-07-24T07:46:27Z","","IR","","I","TRUE","2026-07-24T07:46:27Z","2026-07-28","2027-04-28","","","TWSF","FALSE","FALSE","","50,000,000","50,000,000","USD","USD","","","","","","","","","","","","","","","","","","","","","","","","0.040667","","","","","","","","","","","","false","","","","","","A004","","","A004","","EXPI","","1","","EXPI","","","EXPI","1","","","1","","","USD","","","","false","","","","","","","","","","","TRUE","","","","0.1022","","3","","","QZXQ4R16245X","NA/Swap OIS USD","USD-SOFR-COMPOUND"
"4375307730000000201","","NEWT","TRAD","2026-07-24T07:45:49Z","","IR","","I","TRUE","2026-07-24T07:45:49Z","2026-07-28","2027-07-28","","FALSE","BMTF","FALSE","FALSE","FALSE","31,000,000","31,000,000","USD","USD","","","","","","","","","","","","","","","","","","","","","","","","0.0414737","","","","","","","0","","","","","false","","","","3","","A004","","","A004","","YEAR","","1","","YEAR","","","YEAR","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZXQ4R16245X","NA/Swap OIS USD","USD-SOFR-COMPOUND"
"4375251139000000601","","NEWT","TRAD","2026-07-24T07:45:37Z","","IR","","I","TRUE","2026-07-24T07:45:37Z","2026-07-24","2026-10-22","","","BILT","FALSE","FALSE","FALSE","140,000,000","140,000,000","GBP","GBP","","","","","","","","","","","","","","","","","","","","","","","","0.0379906","","","","","","","","","","","","false","","","","","","A005","","","A005","","DAIL","","1","","EXPI","","","EXPI","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZWP6249QPX9","NA/Swap OIS GBP","GBP-SONIA-OIS Compound"
"4375281081000000201","","NEWT","TRAD","2026-07-24T07:46:13Z","","IR","","I","FALSE","2026-07-24T07:46:13Z","2026-09-16","2028-09-16","","","TWSF","FALSE","FALSE","","140,000,000,000","140,000,000,000","KRW","KRW","","","","","","","","","","","","","","","","","","","","","","","","0.0400807","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","49653.34920","MNTH","","","MNTH","3","","","3","UFRO","USD","USD","","","","false","","","","","","","","","","","TRUE","-212,339","USD","1","","","","","","QZ26BPG38C1K","NA/Swap Fxd Flt KRW","KRW-CD 91D"
"4374874543000000601","","NEWT","TRAD","2026-07-24T07:34:30Z","FALSE","IR","","I","TRUE","2026-07-24T07:34:30Z","2026-07-28","2029-07-15","","","BILT","FALSE","FALSE","TRUE","550,000,000","550,000,000","USD","USD","","","","","","","","","","","","","","","","","","","","","","","","0.0416","","","","","","","0","","","","","false","","","","3","","A004","","","A004","YEAR","DAIL","1","1","","YEAR","","","YEAR","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZXQ4R16245X","NA/Swap OIS USD","USD-SOFR-COMPOUND"
