"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"4375479364000000101","","NEWT","TRAD","2026-07-24T07:48:02Z","","IR","","I","TRUE","2026-07-24T07:48:02Z","2026-07-28","2027-07-28","","FALSE","TREU","FALSE","FALSE","FALSE","21,000,000","21,000,000","USD","USD","","","","","","","","","","","","","","","","","","","","","","","","0.041488","","","","","","","0","","","","","false","","","","3","","A004","","","A004","","YEAR","","1","","YEAR","","","YEAR","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZPB5VSBGRCD","NA/Swap OIS USD","USD-SOFR-OIS Compound"
"4375444101000000101","","NEWT","TRAD","2026-07-24T07:48:08Z","FALSE","IR","","I","TRUE","2026-07-24T07:48:08Z","2026-07-24","2036-07-24","","","TRDX","FALSE","FALSE","FALSE","29,000,000","29,000,000","GBP","GBP","","","","","","","","","","","","","","","","","","","","","","","","0.0466483","","","","","","","0","","","","","false","","","","3","","A005","","","A005","","DAIL","","1","","YEAR","","","YEAR","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZ0W41WLZFFQ","NA/Swap OIS GBP","GBP-SONIA-COMPOUND"
"4375444104000000401","4371192160000000501","MODI","TRAD","2026-07-24T06:53:33Z","FALSE","IR","","I","TRUE","2026-07-24T01:25:01Z","2026-07-24","2027-07-26","","FALSE","BILT","FALSE","FALSE","TRUE","784,064,055+","784,064,055+","HKD","HKD","","","","","","","","","","","","","","","","","","","","","","","","","0.0344","","","","","0","","HKD","","","","false","","","3","","","","A005","A005","","MNTH","","3","","","","MNTH","MNTH","","","3","3","","","","HKD","HKD","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZL7HVNFFBQH","NA/Swap Fxd Flt HKD","HKD-HIBOR"
"4375444106000000601","4371192160000000501","MODI","TRAD","2026-07-24T06:53:34Z","FALSE","IR","","I","TRUE","2026-07-24T01:25:01Z","2026-07-24","2027-07-26","","FALSE","BILT","FALSE","FALSE","TRUE","784,064,055+","784,064,055+","HKD","HKD","","","","","","","","","","","","","","","","","","","","","","","","","0.0344","","","","","0","","HKD","","","","false","","","3","","","","A005","A005","","MNTH","","3","","","","MNTH","MNTH","","","3","3","","","","HKD","HKD","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZL7HVNFFBQH","NA/Swap Fxd Flt HKD","HKD-HIBOR"
"4375444105000000501","4371192159000000401","MODI","TRAD","2026-07-24T06:53:34Z","FALSE","IR","","I","TRUE","2026-07-24T01:25:01Z","2026-07-24","2028-07-24","","FALSE","BILT","FALSE","FALSE","TRUE","700,000,000","700,000,000","HKD","HKD","","","","","","","","","","","","","","","","","","","","","","","","","0.03615","","","","","0","","HKD","","","","false","","","3","","","","A005","A005","","MNTH","","3","","","","MNTH","MNTH","","","3","3","","","","HKD","HKD","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZL7HVNFFBQH","NA/Swap Fxd Flt HKD","HKD-HIBOR"
"4375444107000000701","4371192159000000401","MODI","TRAD","2026-07-24T06:53:35Z","FALSE","IR","","I","TRUE","2026-07-24T01:25:01Z","2026-07-24","2028-07-24","","FALSE","BILT","FALSE","FALSE","TRUE","700,000,000","700,000,000","HKD","HKD","","","","","","","","","","","","","","","","","","","","","","","","","0.03615","","","","","0","","HKD","","","","false","","","3","","","","A005","A005","","MNTH","","3","","","","MNTH","MNTH","","","3","3","","","","HKD","HKD","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZL7HVNFFBQH","NA/Swap Fxd Flt HKD","HKD-HIBOR"
"4375444109000000901","","NEWT","TRAD","2026-07-24T07:48:24Z","","IR","","I","FALSE","2026-07-24T07:48:24Z","2026-09-16","2036-09-17","","","TWSF","FALSE","FALSE","","49,000,000","49,000,000","ZAR","ZAR","","","","","","","","","","","","","","","","","","","","","","","","0.078","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","2179550.00000","MNTH","","","MNTH","3","","","3","UFRO","ZAR","ZAR","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZ2HC7KH0W9L","NA/Swap Fxd Flt ZAR","ZAR-JIBAR"
"4375444108000000801","","NEWT","TRAD","2026-07-24T07:48:14Z","","IR","","N","FALSE","2026-07-24T07:48:14Z","2026-07-24","2027-04-15","2032-04-19","FALSE","BILT","FALSE","FALSE","FALSE","130,000,000","130,000,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","2027-04-15","0.0275","","79,625","EUR","","","","0","","","0.0275","","false","","","","3","3","A001","","","A004","","MNTH","","6","","MNTH","","","MNTH","12","","","6","","","","","","","false","","","","","","","","","","","TRUE","","","","6","","4","","","QZC55WZBKV10","NA/O P Epn Fxd Flt EUR","NA/Swap Fxd Flt EUR"
"4374695997000000401","","NEWT","TRAD","2026-07-24T07:36:34Z","","IR","","I","FALSE","2026-07-24T07:36:34Z","2026-09-16","2028-09-20","","","TWSF","FALSE","TRUE","","10,000,000","10,000,000","CHF","CHF","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","false","","","","","","A004","","","A004","","YEAR","","1","30366.36700","YEAR","","","YEAR","1","","","1","UFRO","CHF","CHF","","","","false","","","","","","","","","","","TRUE","25,878","CHF","1","","","","","","QZJCHH88MJHT","NA/Swap OIS CHF","CHF-SARON-OIS-COMPOUND"
"4374695996000000301","","NEWT","TRAD","2026-07-24T07:36:34Z","","IR","","I","FALSE","2026-07-24T07:36:34Z","2026-12-16","2031-12-17","","","TWSF","FALSE","TRUE","","1,000,000","1,000,000","CHF","CHF","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","false","","","","","","A004","","","A004","","YEAR","","1","4356.35928","YEAR","","","YEAR","1","","","1","UFRO","CHF","CHF","","","","false","","","","","","","","","","","TRUE","25,878","CHF","1","","","","","","QZJCHH88MJHT","NA/Swap OIS CHF","CHF-SARON-OIS-COMPOUND"
